epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16025.1,1.2696,0.72832,0.94826,0.97105,0.00333332,0.00333332,0.00333332
2,33154.7,1.55831,0.71036,0.94237,1.0465,0.00600665,0.00600665,0.00600665
3,51095.3,1.76423,0.67438,0.9253,1.17504,0.00801999,0.00801999,0.00801999
4,69650.1,1.70978,0.68529,0.93073,1.13036,0.00703,0.00703,0.00703
5,85905.6,1.53748,0.71778,0.94575,1.0139,0.00604,0.00604,0.00604
6,101435,1.42558,0.73132,0.95218,0.95755,0.00505,0.00505,0.00505
7,116969,1.31907,0.74282,0.95673,0.90911,0.00406,0.00406,0.00406
8,132484,1.20896,0.75396,0.96124,0.8597,0.00307,0.00307,0.00307
9,148009,1.08181,0.76617,0.96578,0.80581,0.00208,0.00208,0.00208
10,163550,0.93291,0.77888,0.97041,0.74996,0.00109,0.00109,0.00109
